text,audio
في كل صباح، أحب أن أبدأ يومي بكوب من القهوة التركي وأستمع إلى الموسيقى الرائعة للناي الأناضولي بينما أتأمل جمال الطبيعة.,"{'bytes': None, 'path': 'audiosamples/audio_1196.wav'}"
"这个句子中，我们可以说“Merhaba,” যা মানে হল ""হ্যালো,"" ويعبر عن الترحيب بكل لغة.","{'bytes': None, 'path': 'audiosamples/audio_1197.wav'}"
"La journée est belle بالرغم من البرد, và tôi muốn đi dạo.","{'bytes': None, 'path': 'audiosamples/audio_1198.wav'}"
"تحدثت المعلمة في الفصل الدراسي باللغة العربية الفصحى، لكنها استخدمت الكلمة الأوردية ""دوست"" لتوضيح معنى ""صديق"".","{'bytes': None, 'path': 'audiosamples/audio_1199.wav'}"
"Le livre 在书架上是一个宝贝，وهو جسر بين الثقافات, y nos enseña mucho.","{'bytes': None, 'path': 'audiosamples/audio_1200.wav'}"
"L'amitié transcende les frontières, दोस्ती सीमाओं को पार करती है, الصداقة تتجاوز الحدود, دوستی حدوں کو عبور کرتی ہے.","{'bytes': None, 'path': 'audiosamples/audio_1201.wav'}"
"The student said, ""আমি শিখতে চাই,"" which means ""أريد أن أتعلم"" in Arabic, and ""Quiero aprender"" in Spanish.","{'bytes': None, 'path': 'audiosamples/audio_1202.wav'}"
"Das Wetter ist heute sehr schön, وأنا أتطلع لتناول عشاء لذيذ مع amigos.","{'bytes': None, 'path': 'audiosamples/audio_1203.wav'}"
"أحب كيف تتدفق الأنهار في الهند, और वहां के लोगों की मित्रता, trong khi ở Việt Nam, a comida é saborosa.","{'bytes': None, 'path': 'audiosamples/audio_1204.wav'}"
"زرت المكتبة الكبيرة لأقرأ كتبًا في علم النفس واستعرت كتاب ""Psikologi Kognitif"" باللغة الإندونيسية لأفهم مبادئه بشكل أعمق.","{'bytes': None, 'path': 'audiosamples/audio_1205.wav'}"
"Lorsque je suis allé au souk pour acheter des épices, j'ai été fasciné par la diversité et l'odeur envoûtante de chaque بَهَارات disponible.","{'bytes': None, 'path': 'audiosamples/audio_1206.wav'}"
"El niño dijo en árabe ""أحب البحر"" y en francés ""J'adore la mer"", tandis que en vietnamita, anh ấy nói ""Tôi yêu biển"".","{'bytes': None, 'path': 'audiosamples/audio_1207.wav'}"
"زرت المكتبة الكبيرة لأقرأ كتبًا في علم النفس واستعرت كتاب ""Psikologi Kognitif"" باللغة الإندونيسية لأفهم مبادئه بشكل أعمق.","{'bytes': None, 'path': 'audiosamples/audio_1208.wav'}"
"मैं एक समझदार इंसान हूँ, Ich lerne gerne neue Sprachen, وأنا أقدّر الثقافات المختلفة.","{'bytes': None, 'path': 'audiosamples/audio_1209.wav'}"
"Amor (Portuguese for love), محبة (Standard Arabic for love), and love (English) are universal feelings that connect us across cultures.","{'bytes': None, 'path': 'audiosamples/audio_1210.wav'}"
"Eu أحب người yêu tôi, dan mereka selalu berada di hati saya.","{'bytes': None, 'path': 'audiosamples/audio_1211.wav'}"
سافرت إلى جاكرتا لتعلم اللغة الإندونيسية وimproved my English on the way.,"{'bytes': None, 'path': 'audiosamples/audio_1212.wav'}"
"Le chat (French for ""the cat"") बगीचे में सो रहा है (Hindi for ""is sleeping in the garden"") والقمر (Arabic for ""and the moon"") shines bright tonight.","{'bytes': None, 'path': 'audiosamples/audio_1213.wav'}"
"Pada musim semi di Berlin, يمشي الناس في حديقة тропический в то время как они belajar kata-kata baru.","{'bytes': None, 'path': 'audiosamples/audio_1214.wav'}"
"这个句子包括多种语言：Турецкий язык, 简体中文, اللغة العربية الفصحى, и Русский язык, которые вместе показывают красоту языкового разнообразия.","{'bytes': None, 'path': 'audiosamples/audio_1215.wav'}"
"L'amitié transcende les frontières, दोस्ती सीमाओं को पार करती है, الصداقة تتجاوز الحدود, دوستی حدوں کو عبور کرتی ہے.","{'bytes': None, 'path': 'audiosamples/audio_1216.wav'}"
在东京的清晨，日本的樱花与中文的“美丽”一起绽放，في حين أن الشعر العربي يضيف عمقًا للجمال، اردو کا ایک شاعر بھی تعریف کرتا ہے۔,"{'bytes': None, 'path': 'audiosamples/audio_1217.wav'}"
أنا люблю читать Bücher und to improve my Sprachkenntnisse каждый день.,"{'bytes': None, 'path': 'audiosamples/audio_1218.wav'}"
"Моя мечта - это путешествовать по миру, واكتشاف ثقافات جديدة, এবং বিভিন্ন ভাষা শিখতে, cũng như thưởng thức ẩm thực độc đáo.","{'bytes': None, 'path': 'audiosamples/audio_1219.wav'}"
"তোমার সৌন্দর্য সত্যিই حَيْرَة, và tôi không thể ngừng ngắm nhìn.","{'bytes': None, 'path': 'audiosamples/audio_1220.wav'}"
"Москва - город с большой историей, مدينة تتحدث عن ماضيها بكل فخر, donde la música fluye como el agua y रंगों का जादू हर किसी को मंत्रमुग्ध कर देता है।","{'bytes': None, 'path': 'audiosamples/audio_1221.wav'}"
"هذه القطعة الفنية الرائعة, nghệ thuật tuyệt vời này, 这件精美的艺术品, est absolument magnifique.","{'bytes': None, 'path': 'audiosamples/audio_1222.wav'}"
"Sofya'da güneş battı, والليل أحيانًا يحكي قصصًا سرمدية، while the angin whispers through the daun in the tranquil evening.","{'bytes': None, 'path': 'audiosamples/audio_1223.wav'}"
"After a long day, Ahmed sat under the نجوم, sipping شاي, and reflecting on the profound حكمة his جد shared with him earlier.","{'bytes': None, 'path': 'audiosamples/audio_1224.wav'}"
"Taman ini sangat indah, und die Blumen blühen wunderschön, जबकि बच्चे खेल रहे हैं, والطقس معتدل.","{'bytes': None, 'path': 'audiosamples/audio_1225.wav'}"
میں نے الكتاب کو مکتبہ سے حاصل کیا تاکہ علم کی روشنی سے اپنے ذہن کو منور کر سکوں۔,"{'bytes': None, 'path': 'audiosamples/audio_1226.wav'}"
أحببت السياقة في شوارع مدريد، والاستمتاع بالموسيقى الفلامنكو وهو وقت مثالي للراحة والاسترخاء.,"{'bytes': None, 'path': 'audiosamples/audio_1227.wav'}"
"أنا أحب أن أتعلم لغات مختلفة مثل الصينية 我喜欢学习不同的语言，比如西班牙语 me encanta aprender idiomas diferentes, como el turco ve Türkçe'yi öğrenmekten keyif alıyorum.","{'bytes': None, 'path': 'audiosamples/audio_1228.wav'}"
在东京的清晨，日本的樱花与中文的“美丽”一起绽放，في حين أن الشعر العربي يضيف عمقًا للجمال، اردو کا ایک شاعر بھی تعریف کرتا ہے۔,"{'bytes': None, 'path': 'audiosamples/audio_1229.wav'}"
سافر محمد إلى جاكرتا ليتعلم اللغة الإندونيسية ويستكشف ثقافتها المذهلة.,"{'bytes': None, 'path': 'audiosamples/audio_1230.wav'}"
"আমি (Bengali for ""I"") أحب (Arabic for ""love"") 学习 (Mandarin for ""to learn"") 新的语言 (Mandarin for ""new languages"").","{'bytes': None, 'path': 'audiosamples/audio_1231.wav'}"
"Saya suka makan nasi, y los días soleados son hermosos, وأحب قراءة الكتب الجيدة.","{'bytes': None, 'path': 'audiosamples/audio_1232.wav'}"
"أنا أحب أن أتعلم لغات مختلفة مثل الصينية 我喜欢学习不同的语言，比如西班牙语 me encanta aprender idiomas diferentes, como el turco ve Türkçe'yi öğrenmekten keyif alıyorum.","{'bytes': None, 'path': 'audiosamples/audio_1233.wav'}"
Ahmet-san نے これからアラビア語のمضمونを書き始めると決意しました。,"{'bytes': None, 'path': 'audiosamples/audio_1234.wav'}"
"मेरा नाम أحمد है, y me gusta 学习新语言।","{'bytes': None, 'path': 'audiosamples/audio_1235.wav'}"
मैंने आज सुबह القهوة के साथ 寿司 を 食べました。,"{'bytes': None, 'path': 'audiosamples/audio_1236.wav'}"
أنا люблю читать Bücher und to improve my Sprachkenntnisse каждый день.,"{'bytes': None, 'path': 'audiosamples/audio_1237.wav'}"
"Le chat (French for ""the cat"") बगीचे में सो रहा है (Hindi for ""is sleeping in the garden"") والقمر (Arabic for ""and the moon"") shines bright tonight.","{'bytes': None, 'path': 'audiosamples/audio_1238.wav'}"
"তোমার সঙ্গে আলাপ খুব হোস গেল, seninle konuşmak harikaydı, معك الحديث كان رائعًا, và trò chuyện với bạn rất tuyệt.","{'bytes': None, 'path': 'audiosamples/audio_1239.wav'}"
"El paisaje del desierto era tan جميل que al contemplarlo, sentí una sensación de سلام interior como nunca antes.","{'bytes': None, 'path': 'audiosamples/audio_1240.wav'}"
"मैं एक समझदार इंसान हूँ, Ich lerne gerne neue Sprachen, وأنا أقدّر الثقافات المختلفة.","{'bytes': None, 'path': 'audiosamples/audio_1241.wav'}"
"La niña dijo en español ""amor"", بالعربية ""حب"", e em português ""amor"", mostrando que algunas palabras son universales.","{'bytes': None, 'path': 'audiosamples/audio_1242.wav'}"
"ندیم، un chercheur passionné, قرر أن يكتب مقالة عن l'architecture مغاربية et son تأثير على l'urbanisme moderne.","{'bytes': None, 'path': 'audiosamples/audio_1243.wav'}"
"میرا نام إبراهيم adalah, y me gusta aprender lenguas nuevas cada día.","{'bytes': None, 'path': 'audiosamples/audio_1244.wav'}"
أنا yêu вас dan saya menghargai keragaman bahasa kita.,"{'bytes': None, 'path': 'audiosamples/audio_1245.wav'}"
今天天气很好，وأنا أريد أن أذهب للنزهة في الحديقة، آج موسم بہار کا خوبصورت دن ہے۔,"{'bytes': None, 'path': 'audiosamples/audio_1246.wav'}"
"তোমার সৌন্দর্য সত্যিই حَيْرَة, và tôi không thể ngừng ngắm nhìn.","{'bytes': None, 'path': 'audiosamples/audio_1247.wav'}"
"В Каире (Cairo), я встретил человека, который говорил по-английски и писал стихи на العربية.","{'bytes': None, 'path': 'audiosamples/audio_1248.wav'}"
"Der Junge sagte ""Merhaba"", während er das Bild eines ""قلم"" malte, y finalmente exclamó ""¡Qué hermoso!"".","{'bytes': None, 'path': 'audiosamples/audio_1249.wav'}"
"La niña dijo ""حب"" khi cô ấy cantou uma canção suave.","{'bytes': None, 'path': 'audiosamples/audio_1250.wav'}"
"تركيب اللغات المتعددة مثير للإعجاب, ve çok yönlü bir iletişim şeklidir, además facilita el entendimiento cultural, и обогащает наши знания.","{'bytes': None, 'path': 'audiosamples/audio_1251.wav'}"
Мой друг из Индонезии учится читать العربية und er liebt die deutsche Kultur.,"{'bytes': None, 'path': 'audiosamples/audio_1252.wav'}"
東京は素晴らしい都市です، وأنا أحب تعلم اللغات مثل الإسبانية بها.,"{'bytes': None, 'path': 'audiosamples/audio_1253.wav'}"
"Le Chat noir (French) sagt ""Guten Tag"" (German) إلى صديقه (Standard Arabic) while strolling through the English garden.","{'bytes': None, 'path': 'audiosamples/audio_1254.wav'}"
यह जरूरी है que nous travaillons ensemble لتحقيق السلام العالمي.,"{'bytes': None, 'path': 'audiosamples/audio_1255.wav'}"
Le chat (French) dijo (Spanish) أين (Arabic) 猫 (Japanese).,"{'bytes': None, 'path': 'audiosamples/audio_1256.wav'}"
"मेरा दोस्त 'صديقي' तुर्की में एक अद्भुत त्योहार में शामिल हुआ, जिसे 'harika bir festival' कहते हैं।","{'bytes': None, 'path': 'audiosamples/audio_1257.wav'}"
میں आपकी मदद کरنे के लिए hazırım ve امید hai ki biz başaracağız.,"{'bytes': None, 'path': 'audiosamples/audio_1258.wav'}"
"أنا أحب القطط كثيرًا, me gustan mucho los gatos, 猫が大好きです, আমি বিড়াল পছন্দ করি।","{'bytes': None, 'path': 'audiosamples/audio_1259.wav'}"
"La niña dijo ""حب"" khi cô ấy cantou uma canção suave.","{'bytes': None, 'path': 'audiosamples/audio_1260.wav'}"
আমরা (Bengali) جميعًا (Standard Arabic) انسان کی (Urdu) persatuan (Indonesian)।,"{'bytes': None, 'path': 'audiosamples/audio_1261.wav'}"
أنا أحب أن أُشاهد الأفلام على platform Netflix بعد يوم طويل من العمل.,"{'bytes': None, 'path': 'audiosamples/audio_1262.wav'}"
"这个句子中，我们可以说“Merhaba,” যা মানে হল ""হ্যালো,"" ويعبر عن الترحيب بكل لغة.","{'bytes': None, 'path': 'audiosamples/audio_1263.wav'}"
"La 🌎 es bella y رائعة, with un ciel bleu et des gens de toutes cultures.","{'bytes': None, 'path': 'audiosamples/audio_1264.wav'}"
أنا أحب السفر إلى اليابان، 日本は本当に美しい国ですね。,"{'bytes': None, 'path': 'audiosamples/audio_1265.wav'}"
أنا أحب تناول البو (phở) كوجبة إفطار، لأنها شهية وطازجة وتمنحني الطاقة لبدء يومي.,"{'bytes': None, 'path': 'audiosamples/audio_1266.wav'}"
Viele Menschen finden die Kombination aus Deutsch und اللغة العربية الفصحى besonders faszinierend und bereichernd für das kulturelle Verständnis.,"{'bytes': None, 'path': 'audiosamples/audio_1267.wav'}"
"ذهبت إلى السوق لشراء الفواكه مثل ""dứa"" و ""măng cụt"" لأنها لذيذة جدًا في فصل الصيف.","{'bytes': None, 'path': 'audiosamples/audio_1268.wav'}"
"আমি (Bengali for ""I"") أحب (Arabic for ""love"") 学习 (Mandarin for ""to learn"") 新的语言 (Mandarin for ""new languages"").","{'bytes': None, 'path': 'audiosamples/audio_1269.wav'}"
سفر (safar) العلم (ilm) путешествие (puteshestvie) ilmu adalah مغامرة (mughāmara) ум (um) yang مثيرة (muthirah).,"{'bytes': None, 'path': 'audiosamples/audio_1270.wav'}"
"मुझे encanta की फở phở, وأنا أستمتع به كثيرًا.","{'bytes': None, 'path': 'audiosamples/audio_1271.wav'}"
میں आपकी मदद کरنे के लिए hazırım ve امید hai ki biz başaracağız.,"{'bytes': None, 'path': 'audiosamples/audio_1272.wav'}"
"Das Wetter ist heute sehr schön, وأنا أتطلع لتناول عشاء لذيذ مع amigos.","{'bytes': None, 'path': 'audiosamples/audio_1273.wav'}"
আমার সাদিক (صديق) রাস্তায় হেঁটে মসজিদ (مسجد) তে যাচ্ছে যাতে সে সালাত (صلاة) আদায় করতে পারে।,"{'bytes': None, 'path': 'audiosamples/audio_1274.wav'}"
"""The বই किताब (book) is ممتاز (excellent) for learning languages.""","{'bytes': None, 'path': 'audiosamples/audio_1275.wav'}"
"مرحبًا, nasılsınız? Вы хорошо говорите по-арабски, по-турецки и по-русски?","{'bytes': None, 'path': 'audiosamples/audio_1276.wav'}"
Mi amigo preparó un delicioso كبسة y juntos disfrutamos de la موسيقى tradicional bajo las estrellas.,"{'bytes': None, 'path': 'audiosamples/audio_1277.wav'}"
Saya senang belajar العربية karena bahasanya indah dan menantang.,"{'bytes': None, 'path': 'audiosamples/audio_1278.wav'}"
غالباً ما يذهب الطلاب إلى المكتبة لقراءة المانغا لأن ثقافة الأنمي شائعة جدًا بينهم.,"{'bytes': None, 'path': 'audiosamples/audio_1279.wav'}"
"La niña dijo en español ""amor"", بالعربية ""حب"", e em português ""amor"", mostrando que algunas palabras son universales.","{'bytes': None, 'path': 'audiosamples/audio_1280.wav'}"
"میرا نام إبراهيم adalah, y me gusta aprender lenguas nuevas cada día.","{'bytes': None, 'path': 'audiosamples/audio_1281.wav'}"
"Das schöne Morgenlicht بينما kita menikmati secangkir kopi, ist einfach wunderbar.","{'bytes': None, 'path': 'audiosamples/audio_1282.wav'}"
在东京的清晨，日本的樱花与中文的“美丽”一起绽放，في حين أن الشعر العربي يضيف عمقًا للجمال، اردو کا ایک شاعر بھی تعریف کرتا ہے۔,"{'bytes': None, 'path': 'audiosamples/audio_1283.wav'}"
"Der Junge sagte ""Merhaba"", während er das Bild eines ""قلم"" malte, y finalmente exclamó ""¡Qué hermoso!"".","{'bytes': None, 'path': 'audiosamples/audio_1284.wav'}"
"আমি চাই আমার বন্ধুকে সালাম দিয়ে ""শুকরান"" বলি, কারণ সে আমার জন্য ""হাদিয়া"" এনেছে।","{'bytes': None, 'path': 'audiosamples/audio_1285.wav'}"
"প্যারিসে আমরা “أصدقاء” এবং friends, partageant des moments inoubliables sur la Seine.","{'bytes': None, 'path': 'audiosamples/audio_1286.wav'}"
Ahmet-san نے これからアラビア語のمضمونを書き始めると決意しました。,"{'bytes': None, 'path': 'audiosamples/audio_1287.wav'}"
"L'amitié transcende les frontières, दोस्ती सीमाओं को पार करती है, الصداقة تتجاوز الحدود, دوستی حدوں کو عبور کرتی ہے.","{'bytes': None, 'path': 'audiosamples/audio_1288.wav'}"
"هذه القطعة الفنية الرائعة, nghệ thuật tuyệt vời này, 这件精美的艺术品, est absolument magnifique.","{'bytes': None, 'path': 'audiosamples/audio_1289.wav'}"
میں انڈونیشیا جانا چاهتا ہوں لتتعلم اللغة العربية وأستمتع بالثقافة الغنية - Saya ingin pergi ke Indonesia untuk belajar bahasa Arab dan menikmati kebudayaan yang kaya.,"{'bytes': None, 'path': 'audiosamples/audio_1290.wav'}"
"Der Junge sagte ""Merhaba"", während er das Bild eines ""قلم"" malte, y finalmente exclamó ""¡Qué hermoso!"".","{'bytes': None, 'path': 'audiosamples/audio_1291.wav'}"
"Ich finde Bánh mì نَجيب sehr lecker und einzigartig, was Kulturen verbindet.","{'bytes': None, 'path': 'audiosamples/audio_1292.wav'}"
"Bạn có thể viết tiếng Ả Rập xuất sắc, ""أنت تكتب اللغة العربية ببراعة"".","{'bytes': None, 'path': 'audiosamples/audio_1293.wav'}"
"मेरा नाम أحمد है, y me gusta 学习新语言।","{'bytes': None, 'path': 'audiosamples/audio_1294.wav'}"
"أنا أحب قراءة كتب Goethe, e a sua influência na literatura é global.","{'bytes': None, 'path': 'audiosamples/audio_1295.wav'}"
"Anh ấy nói tiếng Đức rất ""gut"" و قرر أن يتعلم viết tiếng Việt trong khi ở Berlin.","{'bytes': None, 'path': 'audiosamples/audio_1296.wav'}"
"Bạn có thể viết tiếng Ả Rập xuất sắc, ""أنت تكتب اللغة العربية ببراعة"".","{'bytes': None, 'path': 'audiosamples/audio_1297.wav'}"
今天天气很好，وأنا أريد أن أذهب للنزهة في الحديقة، آج موسم بہار کا خوبصورت دن ہے۔,"{'bytes': None, 'path': 'audiosamples/audio_1298.wav'}"
"আমি প্রতিদিন ""سلام"" (salam) বলে আমার বন্ধুদের সাথে ""محبة"" (muhabbat) ভাগ করি।","{'bytes': None, 'path': 'audiosamples/audio_1299.wav'}"
"Ketika saya di Paris, أحب أن أتعلم اللغة 日本語を話すことができます。","{'bytes': None, 'path': 'audiosamples/audio_1300.wav'}"
Le chat (French) dijo (Spanish) أين (Arabic) 猫 (Japanese).,"{'bytes': None, 'path': 'audiosamples/audio_1301.wav'}"
Этот прекрасный день научил меня ценить моменты мира и радости الحياة и السعادة.,"{'bytes': None, 'path': 'audiosamples/audio_1302.wav'}"
আমি এই কফি খুব পছন্দ করি، কারণ c'est très délicieux و يحتوي على نكهات مميزة kişilere neşe verir.,"{'bytes': None, 'path': 'audiosamples/audio_1303.wav'}"
الطالب الجاد يذاكر كتبه بجدية ويحب أن يتعلم الكلمات الجديدة مثل شاي (茶) ومعلم (老师) باللغة الصينية.,"{'bytes': None, 'path': 'audiosamples/audio_1304.wav'}"
"El niño dijo en árabe ""أحب البحر"" y en francés ""J'adore la mer"", tandis que en vietnamita, anh ấy nói ""Tôi yêu biển"".","{'bytes': None, 'path': 'audiosamples/audio_1305.wav'}"
আমরা (Bengali) جميعًا (Standard Arabic) انسان کی (Urdu) persatuan (Indonesian)।,"{'bytes': None, 'path': 'audiosamples/audio_1306.wav'}"
"প্যারিসে আমরা “أصدقاء” এবং friends, partageant des moments inoubliables sur la Seine.","{'bytes': None, 'path': 'audiosamples/audio_1307.wav'}"
السفر إلى برلين مع Freunde é uma experiência única que enrichit l'esprit et crée des souvenirs inoubliables.,"{'bytes': None, 'path': 'audiosamples/audio_1308.wav'}"
Ahmet-san نے これからアラビア語のمضمونを書き始めると決意しました。,"{'bytes': None, 'path': 'audiosamples/audio_1309.wav'}"
Mình yêu hòa bình 和平، والتفاهم بين شعوب العالم.,"{'bytes': None, 'path': 'audiosamples/audio_1310.wav'}"
"مرحبًا, nasılsınız? Вы хорошо говорите по-арабски, по-турецки и по-русски?","{'bytes': None, 'path': 'audiosamples/audio_1311.wav'}"
"أنا أحب القطط كثيرًا, me gustan mucho los gatos, 猫が大好きです, আমি বিড়াল পছন্দ করি।","{'bytes': None, 'path': 'audiosamples/audio_1312.wav'}"
今天天气很好，وأنا أريد أن أذهب للنزهة في الحديقة، آج موسم بہار کا خوبصورت دن ہے۔,"{'bytes': None, 'path': 'audiosamples/audio_1313.wav'}"
"В Москве открыли новый ресторан, где подают блюда с халяль, что значит что все продукты соответствуют исламским нормам питания.","{'bytes': None, 'path': 'audiosamples/audio_1314.wav'}"
"The student said, ""আমি শিখতে চাই,"" which means ""أريد أن أتعلم"" in Arabic, and ""Quiero aprender"" in Spanish.","{'bytes': None, 'path': 'audiosamples/audio_1315.wav'}"
"Die Universität المانيا bietet an excellent برنامج in engineering und Technologie, der studenten für globale Herausforderungen vorbereitet.","{'bytes': None, 'path': 'audiosamples/audio_1316.wav'}"
"ما أجمل العلاقة التي تجمع بين các bạn, آپ سب کو terima kasih.","{'bytes': None, 'path': 'audiosamples/audio_1317.wav'}"
"Моя мечта - это путешествовать по миру, واكتشاف ثقافات جديدة, এবং বিভিন্ন ভাষা শিখতে, cũng như thưởng thức ẩm thực độc đáo.","{'bytes': None, 'path': 'audiosamples/audio_1318.wav'}"
मैंने आज सुबह القهوة के साथ 寿司 を 食べました。,"{'bytes': None, 'path': 'audiosamples/audio_1319.wav'}"
東京は素晴らしい都市です، وأنا أحب تعلم اللغات مثل الإسبانية بها.,"{'bytes': None, 'path': 'audiosamples/audio_1320.wav'}"
"In München, أحب السفر إلى المدن الجميلة, surtout quand il fait beau, and I enjoy the blend of cultures.","{'bytes': None, 'path': 'audiosamples/audio_1321.wav'}"
"مرحباً بك في إسطنبول، where you can enjoy çay and sushinin lezzetini, all while discussing technology and 明日の予定.","{'bytes': None, 'path': 'audiosamples/audio_1322.wav'}"
"Каждый день (Russian for 'Every day'), eu aprendo (Portuguese for 'I learn') algo nuevo (Spanish for 'something new') ومثير للاهتمام (Standard Arabic for 'and interesting').","{'bytes': None, 'path': 'audiosamples/audio_1323.wav'}"
تُظهِر النجوم في سماء الصحراء بوضوح لا مثيل له، مُبعثَرة كالأحجار الكريمة على رداء الليل الأسود.,"{'bytes': None, 'path': 'audiosamples/audio_1324.wav'}"
J'adore القهوة التي تُشرب في 中国的早晨 while reading an English novel.,"{'bytes': None, 'path': 'audiosamples/audio_1325.wav'}"
"Das schöne Morgenlicht بينما kita menikmati secangkir kopi, ist einfach wunderbar.","{'bytes': None, 'path': 'audiosamples/audio_1326.wav'}"
Мой друг из Индонезии учится читать العربية und er liebt die deutsche Kultur.,"{'bytes': None, 'path': 'audiosamples/audio_1327.wav'}"
"أحب أن أسافر إلى تركيا والبرازيل لاستكشاف الثقافات المتنوعة ve deniz ürünleri yemek, além de aprender sobre a história local.","{'bytes': None, 'path': 'audiosamples/audio_1328.wav'}"
"রবার্ট নাইন (""Robert neun"" in German) আন্তর্জাতিক সম্মেলনে কথা বলার জন্য জাকার্তা (""Jakarta"" in Indonesian) যাত্রা করেন, وهو يتحدث العربية بطلاقة أثناء الرحلة (""and he speaks Arabic fluently during the trip"" in Standard Arabic).","{'bytes': None, 'path': 'audiosamples/audio_1329.wav'}"
"In München, أحب السفر إلى المدن الجميلة, surtout quand il fait beau, and I enjoy the blend of cultures.","{'bytes': None, 'path': 'audiosamples/audio_1330.wav'}"
"Aku cinta kamu (Indonesian), te echo de menos (Spanish), أشتاق لك (Standard Arabic), 我想你 (Mandarin Chinese).","{'bytes': None, 'path': 'audiosamples/audio_1331.wav'}"
"この素敵なパーティーへようこそ、Herzlich willkommen, أتمنى لكم وقتاً ممتعاً, y espero que todos disfruten de la velada.","{'bytes': None, 'path': 'audiosamples/audio_1332.wav'}"
"Каждый день (Russian for 'Every day'), eu aprendo (Portuguese for 'I learn') algo nuevo (Spanish for 'something new') ومثير للاهتمام (Standard Arabic for 'and interesting').","{'bytes': None, 'path': 'audiosamples/audio_1333.wav'}"
"El sol brilla en el cielo azul mientras las flores bailan al viento y نحن نتعلم لغات جديدة cada día, o aprendemos algo novo.","{'bytes': None, 'path': 'audiosamples/audio_1334.wav'}"
"La niña dijo en español ""amor"", بالعربية ""حب"", e em português ""amor"", mostrando que algunas palabras son universales.","{'bytes': None, 'path': 'audiosamples/audio_1335.wav'}"
İstanbul'a أحب السفر إلى 東京で新しい文化を体験するのが好きです。,"{'bytes': None, 'path': 'audiosamples/audio_1336.wav'}"
"میرا نام John है, और میں आपकी मदद के لिए ہوں।","{'bytes': None, 'path': 'audiosamples/audio_1337.wav'}"
"مرحباً, मैं اُر्दُو और français अच्छी तरह बोल सकता हूँ।","{'bytes': None, 'path': 'audiosamples/audio_1338.wav'}"
"मुझे encanta की फở phở, وأنا أستمتع به كثيرًا.","{'bytes': None, 'path': 'audiosamples/audio_1339.wav'}"
سافر محمد إلى جاكرتا ليتعلم اللغة الإندونيسية ويستكشف ثقافتها المذهلة.,"{'bytes': None, 'path': 'audiosamples/audio_1340.wav'}"
"寒い日ですね、şansınız bol olsun, يوم موفق لكم, espero que tengan éxito.","{'bytes': None, 'path': 'audiosamples/audio_1341.wav'}"
यह जरूरी है que nous travaillons ensemble لتحقيق السلام العالمي.,"{'bytes': None, 'path': 'audiosamples/audio_1342.wav'}"
"While strolling through the bustling souq, I couldn't resist purchasing a beautiful abaya and a pair of intricately designed babouches.","{'bytes': None, 'path': 'audiosamples/audio_1343.wav'}"
"Chaque matin, je vois le soleil كبير dans le ciel, et cela me rappelle la beauté du monde.","{'bytes': None, 'path': 'audiosamples/audio_1344.wav'}"
"मेरा दोस्त 'صديقي' तुर्की में एक अद्भुत त्योहार में शामिल हुआ, जिसे 'harika bir festival' कहते हैं।","{'bytes': None, 'path': 'audiosamples/audio_1345.wav'}"
"هذه القطعة الفنية الرائعة, nghệ thuật tuyệt vời này, 这件精美的艺术品, est absolument magnifique.","{'bytes': None, 'path': 'audiosamples/audio_1346.wav'}"
Мой друг из Индонезии учится читать العربية und er liebt die deutsche Kultur.,"{'bytes': None, 'path': 'audiosamples/audio_1347.wav'}"
لقد زرت باريس وكانت magnifique، حيث الجمال يلتقي التقاليد العربية والفن الفرنسي.,"{'bytes': None, 'path': 'audiosamples/audio_1348.wav'}"
"""Друзья (friends) help amigos to find السلام (peace) through understanding and любовь (love).""","{'bytes': None, 'path': 'audiosamples/audio_1349.wav'}"
"मुझे encanta की फở phở, وأنا أستمتع به كثيرًا.","{'bytes': None, 'path': 'audiosamples/audio_1350.wav'}"
"La 🌎 es bella y رائعة, with un ciel bleu et des gens de toutes cultures.","{'bytes': None, 'path': 'audiosamples/audio_1351.wav'}"
"Ich finde Bánh mì نَجيب sehr lecker und einzigartig, was Kulturen verbindet.","{'bytes': None, 'path': 'audiosamples/audio_1352.wav'}"
"While visiting the Taj Mahal, Rahul disse, ""هذا المكان جميل بشكل لا يصدق,"" and Emma replied in awe, ""It's truly a wonder.""","{'bytes': None, 'path': 'audiosamples/audio_1353.wav'}"
"La niña dijo ""حب"" khi cô ấy cantou uma canção suave.","{'bytes': None, 'path': 'audiosamples/audio_1354.wav'}"
أنا أحب تناول البو (phở) كوجبة إفطار، لأنها شهية وطازجة وتمنحني الطاقة لبدء يومي.,"{'bytes': None, 'path': 'audiosamples/audio_1355.wav'}"
"Das schöne Morgenlicht بينما kita menikmati secangkir kopi, ist einfach wunderbar.","{'bytes': None, 'path': 'audiosamples/audio_1356.wav'}"
我今天在图书馆学习了几个小时，感觉就像在沙漠中找到了一片绿洲。,"{'bytes': None, 'path': 'audiosamples/audio_1357.wav'}"
"Sofya'da güneş battı, والليل أحيانًا يحكي قصصًا سرمدية، while the angin whispers through the daun in the tranquil evening.","{'bytes': None, 'path': 'audiosamples/audio_1358.wav'}"
"この素敵なパーティーへようこそ、Herzlich willkommen, أتمنى لكم وقتاً ممتعاً, y espero que todos disfruten de la velada.","{'bytes': None, 'path': 'audiosamples/audio_1359.wav'}"
